country|rating|song|artist
Argentina|1|No Es Justo|J Balvin, Zion & Lennox
Argentina|2|X|Nicky Jam & J Balvin
Argentina|3|Fake Love|BTS
Argentina|4|Solo Yo|CNCO
Argentina|5|Calypso|Luis Fonsi & Stefflon Don
Argentina|6|Vaina Loca|Ozuna & Manuel Turizo
Argentina|7|Me Niego|Reik, Ozuna & Wisin
Argentina|8|Se Vuelve Loca|CNCO
Argentina|9|Familiar|Liam Payne & J Balvin
Argentina|10|Consejo De Amor|Tini & Morat
Argentina|11|Que Suerte Tiene El|Luciano Pereyra
Argentina|12|Dura|Daddy Yankee, Bad Bunny, Becky G & Natti Natasha
Argentina|13|No Me Acuerdo|Thalia & Natti Natasha
Argentina|14|Girls Like You|Maroon 5 & Cardi B
Argentina|15|Siguelo Bailando|Ozuna
Argentina|16|Te Amo|Piso 21 & Paulo Londra
Argentina|17|Sin Pijama|Becky G & Natti Natasha
Argentina|18|Bella|Wolfine
Argentina|19|El Clavo|Prince Royce & Maluma
Argentina|20|El Prestamo|Maluma
Australia|1|In My Feelings|Drake
Australia|2|Youngblood|5 Seconds Of Summer
Australia|3|Be Alright|Dean Lewis
Australia|4|Girls Like You|Maroon 5 & Cardi B
Australia|5|God Is A Woman|Ariana Grande
Australia|6|Better Now|Post Malone
Australia|7|Healing Hands|Conrad Sewell
Australia|8|2002|Anne-Marie
Australia|9|Lucid Dreams|Juice WRLD
Australia|10|Nevermind|Dennis Lloyd
Australia|11|Solo|Clean Bandit & Demi Lovato
Australia|12|Eastside|Benny Blanco, Khalid & Halsey
Australia|13|Jackie Chan|Tiesto & Dzeko, Preme & Post Malone
Australia|14|Ocean|Martin Garrix & Khalid
Australia|15|I Said Hi|Amy Shark
Australia|16|Rise|Jonas Blue, Jack & Jack
Australia|17|Fire / Reprisal|Peking Duk
Australia|18|Don't Matter To Me|Drake & Michael Jackson
Australia|19|I Wanna Know|NOTD & Bea Miller
Australia|20|Lovely|Billie Eilish & Khalid
Austria|1|Solo|Clean Bandit & Demi Lovato
Austria|2|Kennzeichen B-TK|Capital Bra
Austria|3|Berlin Lebt|Capital Bra
Austria|4|Neymar|Capital Bra
Austria|5|Sad!|XXXTentacion
Austria|6|One Kiss|Calvin Harris & Dua Lipa
Austria|7|Nevermind|Dennis Lloyd
Austria|8|Casanova|Summer Cem & Bausa
